AccountReportingLineKey,ReportingLineCode,RecordStatusKey,ReportingLineName,ReportingLineDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
29,ARL000029,3,Titan AccountReportingLine 29,AccountReportingLine starter record 29,Blair Hughes,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,ARL000030,1,Harbor AccountReportingLine 30,AccountReportingLine starter record 30,Finley Khan,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,ARL000031,3,Titan AccountReportingLine 31,AccountReportingLine starter record 31,Blair Hughes,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,ARL000032,1,Keystone AccountReportingLine 32,AccountReportingLine starter record 32,Alex Diaz,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,ARL000033,4,Junction AccountReportingLine 33,AccountReportingLine starter record 33,Devon Reed,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,ARL000034,4,Zenith AccountReportingLine 34,AccountReportingLine starter record 34,Casey Singh,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,ARL000035,2,Unity AccountReportingLine 35,AccountReportingLine starter record 35,Morgan Evans,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,ARL000036,4,Zenith AccountReportingLine 36,AccountReportingLine starter record 36,Quinn Adams,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,ARL000037,1,Willow AccountReportingLine 37,AccountReportingLine starter record 37,Alex Diaz,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,ARL000038,2,Meridian AccountReportingLine 38,AccountReportingLine starter record 38,Taylor Khan,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
39,ARL000039,1,Orion AccountReportingLine 39,AccountReportingLine starter record 39,Jordan Evans,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,ARL000040,1,Zenith AccountReportingLine 40,AccountReportingLine starter record 40,Quinn Garcia,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
41,ARL000041,1,Orion AccountReportingLine 41,AccountReportingLine starter record 41,Quinn Martin,2020-02-11,2021-02-10,1,1,1,2026-08-24T00:00:00.000
42,ARL000042,4,Quartz AccountReportingLine 42,AccountReportingLine starter record 42,Casey Chen,2020-02-12,2021-02-11,1,1,1,2026-08-24T00:00:00.000
43,ARL000043,1,Junction AccountReportingLine 43,AccountReportingLine starter record 43,Jordan Bennett,2020-02-13,2021-02-12,1,1,1,2026-08-24T00:00:00.000
44,ARL000044,3,Willow AccountReportingLine 44,AccountReportingLine starter record 44,Alex Adams,2020-02-14,2021-02-13,1,1,1,2026-08-24T00:00:00.000
45,ARL000045,4,Meridian AccountReportingLine 45,AccountReportingLine starter record 45,Quinn Garcia,2020-02-15,2021-02-14,0,1,1,2026-08-24T00:00:00.000
46,ARL000046,2,Granite AccountReportingLine 46,AccountReportingLine starter record 46,Devon Diaz,2020-02-16,2021-02-15,1,1,1,2026-08-24T00:00:00.000
47,ARL000047,1,Titan AccountReportingLine 47,AccountReportingLine starter record 47,Jordan Garcia,2020-02-17,2021-02-16,1,1,1,2026-08-24T00:00:00.000
48,ARL000048,1,Atlas AccountReportingLine 48,AccountReportingLine starter record 48,Finley Evans,2020-02-18,2021-02-17,1,1,1,2026-08-24T00:00:00.000
49,ARL000049,2,Beacon AccountReportingLine 49,AccountReportingLine starter record 49,Jordan Bennett,2020-02-19,2021-02-18,1,1,1,2026-08-24T00:00:00.000
50,ARL000050,3,Pioneer AccountReportingLine 50,AccountReportingLine starter record 50,Alex Khan,2020-02-20,2021-02-19,0,1,1,2026-08-24T00:00:00.000
51,ARL000051,1,Forge AccountReportingLine 51,AccountReportingLine starter record 51,Harper Bennett,2020-02-21,2021-02-20,1,1,1,2026-08-24T00:00:00.000
52,ARL000052,1,Liberty AccountReportingLine 52,AccountReportingLine starter record 52,Jordan Adams,2020-02-22,2021-02-21,1,1,1,2026-08-24T00:00:00.000
53,ARL000053,3,Riverton AccountReportingLine 53,AccountReportingLine starter record 53,Blair Khan,2020-02-23,2021-02-22,1,1,1,2026-08-24T00:00:00.000
54,ARL000054,3,Northstar AccountReportingLine 54,AccountReportingLine starter record 54,Finley Adams,2020-02-24,2021-02-23,1,1,1,2026-08-24T00:00:00.000
55,ARL000055,1,Titan AccountReportingLine 55,AccountReportingLine starter record 55,Casey Martin,2020-02-25,2021-02-24,0,1,1,2026-08-24T00:00:00.000
56,ARL000056,2,Junction AccountReportingLine 56,AccountReportingLine starter record 56,Morgan Martin,2020-02-26,2021-02-25,1,1,1,2026-08-24T00:00:00.000
57,ARL000057,3,Beacon AccountReportingLine 57,AccountReportingLine starter record 57,Devon Garcia,2020-02-27,2021-02-26,1,1,1,2026-08-24T00:00:00.000
58,ARL000058,1,Delta AccountReportingLine 58,AccountReportingLine starter record 58,Blair Adams,2020-02-28,2021-02-27,1,1,1,2026-08-24T00:00:00.000
59,ARL000059,3,Forge AccountReportingLine 59,AccountReportingLine starter record 59,Taylor Evans,2020-02-29,2021-02-28,1,1,1,2026-08-24T00:00:00.000
60,ARL000060,2,Riverton AccountReportingLine 60,AccountReportingLine starter record 60,Finley Garcia,2020-03-01,2021-03-01,0,1,1,2026-08-24T00:00:00.000
61,ARL000061,1,Unity AccountReportingLine 61,AccountReportingLine starter record 61,Casey Adams,2020-03-02,2021-03-02,1,1,1,2026-08-24T00:00:00.000
62,ARL000062,2,Granite AccountReportingLine 62,AccountReportingLine starter record 62,Riley Patel,2020-03-03,2021-03-03,1,1,1,2026-08-24T00:00:00.000
63,ARL000063,1,Delta AccountReportingLine 63,AccountReportingLine starter record 63,Riley Bennett,2020-03-04,2021-03-04,1,1,1,2026-08-24T00:00:00.000
64,ARL000064,4,Junction AccountReportingLine 64,AccountReportingLine starter record 64,Emerson Garcia,2020-03-05,2021-03-05,1,1,1,2026-08-24T00:00:00.000
65,ARL000065,1,Summit AccountReportingLine 65,AccountReportingLine starter record 65,Harper Chen,2020-03-06,2021-03-06,0,1,1,2026-08-24T00:00:00.000
66,ARL000066,1,Harbor AccountReportingLine 66,AccountReportingLine starter record 66,Blair Adams,2020-03-07,2021-03-07,1,1,1,2026-08-24T00:00:00.000
67,ARL000067,4,Cedar AccountReportingLine 67,AccountReportingLine starter record 67,Taylor Patel,2020-03-08,2021-03-08,1,1,1,2026-08-24T00:00:00.000
68,ARL000068,2,Ion AccountReportingLine 68,AccountReportingLine starter record 68,Morgan Chen,2020-03-09,2021-03-09,1,1,1,2026-08-24T00:00:00.000
69,ARL000069,1,Granite AccountReportingLine 69,AccountReportingLine starter record 69,Devon Evans,2020-03-10,2021-03-10,1,1,1,2026-08-24T00:00:00.000
70,ARL000070,1,Meridian AccountReportingLine 70,AccountReportingLine starter record 70,Blair Garcia,2020-03-11,2021-03-11,0,1,1,2026-08-24T00:00:00.000
71,ARL000071,3,Vertex AccountReportingLine 71,AccountReportingLine starter record 71,Jordan Patel,2020-03-12,2021-03-12,1,1,1,2026-08-24T00:00:00.000
72,ARL000072,3,Harbor AccountReportingLine 72,AccountReportingLine starter record 72,Jordan Hughes,2020-03-13,2021-03-13,1,1,1,2026-08-24T00:00:00.000
73,ARL000073,4,Keystone AccountReportingLine 73,AccountReportingLine starter record 73,Devon Reed,2020-03-14,2021-03-14,1,1,1,2026-08-24T00:00:00.000
74,ARL000074,1,Evergreen AccountReportingLine 74,AccountReportingLine starter record 74,Blair Adams,2020-03-15,2021-03-15,1,1,1,2026-08-24T00:00:00.000
75,ARL000075,3,Summit AccountReportingLine 75,AccountReportingLine starter record 75,Harper Reed,2020-03-16,2021-03-16,0,1,1,2026-08-24T00:00:00.000
76,ARL000076,4,Orion AccountReportingLine 76,AccountReportingLine starter record 76,Finley Adams,2020-03-17,2021-03-17,1,1,1,2026-08-24T00:00:00.000
77,ARL000077,2,Keystone AccountReportingLine 77,AccountReportingLine starter record 77,Harper Patel,2020-03-18,2021-03-18,1,1,1,2026-08-24T00:00:00.000
78,ARL000078,1,Northstar AccountReportingLine 78,AccountReportingLine starter record 78,Emerson Adams,2020-03-19,2021-03-19,1,1,1,2026-08-24T00:00:00.000
79,ARL000079,2,Harbor AccountReportingLine 79,AccountReportingLine starter record 79,Alex Martin,2020-03-20,2021-03-20,1,1,1,2026-08-24T00:00:00.000
80,ARL000080,4,Keystone AccountReportingLine 80,AccountReportingLine starter record 80,Alex Hughes,2020-03-21,2021-03-21,0,1,1,2026-08-24T00:00:00.000
81,ARL000081,3,Keystone AccountReportingLine 81,AccountReportingLine starter record 81,Jordan Hughes,2020-03-22,2021-03-22,1,1,1,2026-08-24T00:00:00.000
82,ARL000082,2,Meridian AccountReportingLine 82,AccountReportingLine starter record 82,Morgan Adams,2020-03-23,2021-03-23,1,1,1,2026-08-24T00:00:00.000
83,ARL000083,2,Titan AccountReportingLine 83,AccountReportingLine starter record 83,Riley Adams,2020-03-24,2021-03-24,1,1,1,2026-08-24T00:00:00.000
84,ARL000084,1,Ion AccountReportingLine 84,AccountReportingLine starter record 84,Blair Singh,2020-03-25,2021-03-25,1,1,1,2026-08-24T00:00:00.000
85,ARL000085,2,Pioneer AccountReportingLine 85,AccountReportingLine starter record 85,Finley Bennett,2020-03-26,2021-03-26,0,1,1,2026-08-24T00:00:00.000
86,ARL000086,2,Harbor AccountReportingLine 86,AccountReportingLine starter record 86,Morgan Patel,2020-03-27,2021-03-27,1,1,1,2026-08-24T00:00:00.000
87,ARL000087,3,Evergreen AccountReportingLine 87,AccountReportingLine starter record 87,Harper Khan,2020-03-28,2021-03-28,1,1,1,2026-08-24T00:00:00.000
88,ARL000088,4,Zenith AccountReportingLine 88,AccountReportingLine starter record 88,Alex Khan,2020-03-29,2021-03-29,1,1,1,2026-08-24T00:00:00.000
89,ARL000089,1,Pioneer AccountReportingLine 89,AccountReportingLine starter record 89,Casey Bennett,2020-03-30,2021-03-30,1,1,1,2026-08-24T00:00:00.000
90,ARL000090,3,Beacon AccountReportingLine 90,AccountReportingLine starter record 90,Emerson Chen,2020-03-31,2021-03-31,0,1,1,2026-08-24T00:00:00.000
91,ARL000091,1,Evergreen AccountReportingLine 91,AccountReportingLine starter record 91,Riley Reed,2020-04-01,2021-04-01,1,1,1,2026-08-24T00:00:00.000
92,ARL000092,1,Meridian AccountReportingLine 92,AccountReportingLine starter record 92,Emerson Adams,2020-04-02,2021-04-02,1,1,1,2026-08-24T00:00:00.000
93,ARL000093,4,Harbor AccountReportingLine 93,AccountReportingLine starter record 93,Harper Patel,2020-04-03,2021-04-03,1,1,1,2026-08-24T00:00:00.000
94,ARL000094,2,Willow AccountReportingLine 94,AccountReportingLine starter record 94,Quinn Singh,2020-04-04,2021-04-04,1,1,1,2026-08-24T00:00:00.000
95,ARL000095,4,Northstar AccountReportingLine 95,AccountReportingLine starter record 95,Riley Diaz,2020-04-05,2021-04-05,0,1,1,2026-08-24T00:00:00.000
96,ARL000096,1,Cedar AccountReportingLine 96,AccountReportingLine starter record 96,Riley Martin,2020-04-06,2021-04-06,1,1,1,2026-08-24T00:00:00.000
97,ARL000097,1,Meridian AccountReportingLine 97,AccountReportingLine starter record 97,Morgan Bennett,2020-04-07,2021-04-07,1,1,1,2026-08-24T00:00:00.000
98,ARL000098,1,Keystone AccountReportingLine 98,AccountReportingLine starter record 98,Emerson Reed,2020-04-08,2021-04-08,1,1,1,2026-08-24T00:00:00.000
99,ARL000099,3,Ion AccountReportingLine 99,AccountReportingLine starter record 99,Morgan Evans,2020-04-09,2021-04-09,1,1,1,2026-08-24T00:00:00.000
100,ARL000100,4,Liberty AccountReportingLine 100,AccountReportingLine starter record 100,Alex Singh,2020-04-10,2021-04-10,0,1,1,2026-08-24T00:00:00.000
101,ARL000101,3,Unity AccountReportingLine 101,AccountReportingLine starter record 101,Taylor Reed,2020-04-11,2021-04-11,1,1,1,2026-08-24T00:00:00.000
102,ARL000102,3,Cedar AccountReportingLine 102,AccountReportingLine starter record 102,Finley Hughes,2020-04-12,2021-04-12,1,1,1,2026-08-24T00:00:00.000
103,ARL000103,3,Keystone AccountReportingLine 103,AccountReportingLine starter record 103,Harper Khan,2020-04-13,2021-04-13,1,1,1,2026-08-24T00:00:00.000
104,ARL000104,3,Junction AccountReportingLine 104,AccountReportingLine starter record 104,Alex Khan,2020-04-14,2021-04-14,1,1,1,2026-08-24T00:00:00.000
105,ARL000105,2,Keystone AccountReportingLine 105,AccountReportingLine starter record 105,Morgan Reed,2020-04-15,2021-04-15,0,1,1,2026-08-24T00:00:00.000
106,ARL000106,4,Pioneer AccountReportingLine 106,AccountReportingLine starter record 106,Jordan Diaz,2020-04-16,2021-04-16,1,1,1,2026-08-24T00:00:00.000
107,ARL000107,4,Titan AccountReportingLine 107,AccountReportingLine starter record 107,Quinn Garcia,2020-04-17,2021-04-17,1,1,1,2026-08-24T00:00:00.000
108,ARL000108,4,Liberty AccountReportingLine 108,AccountReportingLine starter record 108,Finley Evans,2020-04-18,2021-04-18,1,1,1,2026-08-24T00:00:00.000
109,ARL000109,3,Ion AccountReportingLine 109,AccountReportingLine starter record 109,Emerson Chen,2020-04-19,2021-04-19,1,1,1,2026-08-24T00:00:00.000
110,ARL000110,3,Vertex AccountReportingLine 110,AccountReportingLine starter record 110,Morgan Adams,2020-04-20,2021-04-20,0,1,1,2026-08-24T00:00:00.000
111,ARL000111,3,Riverton AccountReportingLine 111,AccountReportingLine starter record 111,Quinn Evans,2020-04-21,2021-04-21,1,1,1,2026-08-24T00:00:00.000
112,ARL000112,4,Vertex AccountReportingLine 112,AccountReportingLine starter record 112,Blair Singh,2020-04-22,2021-04-22,1,1,1,2026-08-24T00:00:00.000
113,ARL000113,3,Beacon AccountReportingLine 113,AccountReportingLine starter record 113,Riley Adams,2020-04-23,2021-04-23,1,1,1,2026-08-24T00:00:00.000
114,ARL000114,3,Keystone AccountReportingLine 114,AccountReportingLine starter record 114,Taylor Evans,2020-04-24,2021-04-24,1,1,1,2026-08-24T00:00:00.000
115,ARL000115,3,Ion AccountReportingLine 115,AccountReportingLine starter record 115,Jordan Khan,2020-04-25,2021-04-25,0,1,1,2026-08-24T00:00:00.000
116,ARL000116,4,Titan AccountReportingLine 116,AccountReportingLine starter record 116,Emerson Garcia,2020-04-26,2021-04-26,1,1,1,2026-08-24T00:00:00.000
117,ARL000117,2,Titan AccountReportingLine 117,AccountReportingLine starter record 117,Emerson Evans,2020-04-27,2021-04-27,1,1,1,2026-08-24T00:00:00.000
118,ARL000118,3,Meridian AccountReportingLine 118,AccountReportingLine starter record 118,Casey Reed,2020-04-28,2021-04-28,1,1,1,2026-08-24T00:00:00.000
119,ARL000119,2,Quartz AccountReportingLine 119,AccountReportingLine starter record 119,Riley Martin,2020-04-29,2021-04-29,1,1,1,2026-08-24T00:00:00.000
120,ARL000120,1,Meridian AccountReportingLine 120,AccountReportingLine starter record 120,Finley Bennett,2020-04-30,2021-04-30,0,1,1,2026-08-24T00:00:00.000
121,ARL000121,4,Liberty AccountReportingLine 121,AccountReportingLine starter record 121,Casey Chen,2020-05-01,2021-05-01,1,1,1,2026-08-24T00:00:00.000
122,ARL000122,4,Forge AccountReportingLine 122,AccountReportingLine starter record 122,Harper Adams,2020-05-02,2021-05-02,1,1,1,2026-08-24T00:00:00.000
123,ARL000123,3,Cedar AccountReportingLine 123,AccountReportingLine starter record 123,Alex Adams,2020-05-03,2021-05-03,1,1,1,2026-08-24T00:00:00.000
124,ARL000124,4,Titan AccountReportingLine 124,AccountReportingLine starter record 124,Harper Evans,2020-05-04,2021-05-04,1,1,1,2026-08-24T00:00:00.000
125,ARL000125,4,Willow AccountReportingLine 125,AccountReportingLine starter record 125,Devon Patel,2020-05-05,2021-05-05,0,1,1,2026-08-24T00:00:00.000
126,ARL000126,4,Ion AccountReportingLine 126,AccountReportingLine starter record 126,Alex Khan,2020-05-06,2021-05-06,1,1,1,2026-08-24T00:00:00.000
127,ARL000127,4,Ion AccountReportingLine 127,AccountReportingLine starter record 127,Devon Patel,2020-05-07,2021-05-07,1,1,1,2026-08-24T00:00:00.000
128,ARL000128,2,Evergreen AccountReportingLine 128,AccountReportingLine starter record 128,Quinn Singh,2020-05-08,2021-05-08,1,1,1,2026-08-24T00:00:00.000
129,ARL000129,3,Orion AccountReportingLine 129,AccountReportingLine starter record 129,Morgan Hughes,2020-05-09,2021-05-09,1,1,1,2026-08-24T00:00:00.000
130,ARL000130,2,Cedar AccountReportingLine 130,AccountReportingLine starter record 130,Harper Martin,2020-05-10,2021-05-10,0,1,1,2026-08-24T00:00:00.000
131,ARL000131,2,Riverton AccountReportingLine 131,AccountReportingLine starter record 131,Emerson Chen,2020-05-11,2021-05-11,1,1,1,2026-08-24T00:00:00.000
132,ARL000132,1,Riverton AccountReportingLine 132,AccountReportingLine starter record 132,Riley Khan,2020-05-12,2021-05-12,1,1,1,2026-08-24T00:00:00.000
133,ARL000133,3,Orion AccountReportingLine 133,AccountReportingLine starter record 133,Quinn Hughes,2020-05-13,2021-05-13,1,1,1,2026-08-24T00:00:00.000
134,ARL000134,4,Keystone AccountReportingLine 134,AccountReportingLine starter record 134,Finley Singh,2020-05-14,2021-05-14,1,1,1,2026-08-24T00:00:00.000
135,ARL000135,4,Titan AccountReportingLine 135,AccountReportingLine starter record 135,Emerson Patel,2020-05-15,2021-05-15,0,1,1,2026-08-24T00:00:00.000
136,ARL000136,4,Liberty AccountReportingLine 136,AccountReportingLine starter record 136,Blair Hughes,2020-05-16,2021-05-16,1,1,1,2026-08-24T00:00:00.000
137,ARL000137,4,Northstar AccountReportingLine 137,AccountReportingLine starter record 137,Quinn Garcia,2020-05-17,2021-05-17,1,1,1,2026-08-24T00:00:00.000
138,ARL000138,4,Zenith AccountReportingLine 138,AccountReportingLine starter record 138,Devon Adams,2020-05-18,2021-05-18,1,1,1,2026-08-24T00:00:00.000
139,ARL000139,3,Unity AccountReportingLine 139,AccountReportingLine starter record 139,Devon Evans,2020-05-19,2021-05-19,1,1,1,2026-08-24T00:00:00.000
140,ARL000140,1,Titan AccountReportingLine 140,AccountReportingLine starter record 140,Devon Hughes,2020-05-20,2021-05-20,0,1,1,2026-08-24T00:00:00.000
141,ARL000141,2,Delta AccountReportingLine 141,AccountReportingLine starter record 141,Emerson Bennett,2020-05-21,2021-05-21,1,1,1,2026-08-24T00:00:00.000
142,ARL000142,1,Evergreen AccountReportingLine 142,AccountReportingLine starter record 142,Finley Singh,2020-05-22,2021-05-22,1,1,1,2026-08-24T00:00:00.000
143,ARL000143,4,Delta AccountReportingLine 143,AccountReportingLine starter record 143,Alex Patel,2020-05-23,2021-05-23,1,1,1,2026-08-24T00:00:00.000
144,ARL000144,2,Forge AccountReportingLine 144,AccountReportingLine starter record 144,Jordan Hughes,2020-05-24,2021-05-24,1,1,1,2026-08-24T00:00:00.000
145,ARL000145,2,Vertex AccountReportingLine 145,AccountReportingLine starter record 145,Taylor Garcia,2020-05-25,2021-05-25,0,1,1,2026-08-24T00:00:00.000
146,ARL000146,4,Orion AccountReportingLine 146,AccountReportingLine starter record 146,Finley Reed,2020-05-26,2021-05-26,1,1,1,2026-08-24T00:00:00.000
147,ARL000147,1,Orion AccountReportingLine 147,AccountReportingLine starter record 147,Quinn Martin,2020-05-27,2021-05-27,1,1,1,2026-08-24T00:00:00.000
148,ARL000148,3,Summit AccountReportingLine 148,AccountReportingLine starter record 148,Casey Reed,2020-05-28,2021-05-28,1,1,1,2026-08-24T00:00:00.000
149,ARL000149,4,Harbor AccountReportingLine 149,AccountReportingLine starter record 149,Emerson Singh,2020-05-29,2021-05-29,1,1,1,2026-08-24T00:00:00.000
150,ARL000150,4,Granite AccountReportingLine 150,AccountReportingLine starter record 150,Alex Chen,2020-05-30,2021-05-30,0,1,1,2026-08-24T00:00:00.000
151,ARL000151,4,Orion AccountReportingLine 151,AccountReportingLine starter record 151,Taylor Patel,2020-05-31,2021-05-31,1,1,1,2026-08-24T00:00:00.000
152,ARL000152,1,Orion AccountReportingLine 152,AccountReportingLine starter record 152,Blair Bennett,2020-06-01,2021-06-01,1,1,1,2026-08-24T00:00:00.000
153,ARL000153,3,Evergreen AccountReportingLine 153,AccountReportingLine starter record 153,Jordan Martin,2020-06-02,2021-06-02,1,1,1,2026-08-24T00:00:00.000
154,ARL000154,2,Meridian AccountReportingLine 154,AccountReportingLine starter record 154,Morgan Evans,2020-06-03,2021-06-03,1,1,1,2026-08-24T00:00:00.000
155,ARL000155,1,Orion AccountReportingLine 155,AccountReportingLine starter record 155,Jordan Bennett,2020-06-04,2021-06-04,0,1,1,2026-08-24T00:00:00.000
156,ARL000156,1,Vertex AccountReportingLine 156,AccountReportingLine starter record 156,Emerson Chen,2020-06-05,2021-06-05,1,1,1,2026-08-24T00:00:00.000
157,ARL000157,3,Forge AccountReportingLine 157,AccountReportingLine starter record 157,Quinn Patel,2020-06-06,2021-06-06,1,1,1,2026-08-24T00:00:00.000
158,ARL000158,4,Delta AccountReportingLine 158,AccountReportingLine starter record 158,Quinn Patel,2020-06-07,2021-06-07,1,1,1,2026-08-24T00:00:00.000
159,ARL000159,2,Evergreen AccountReportingLine 159,AccountReportingLine starter record 159,Taylor Martin,2020-06-08,2021-06-08,1,1,1,2026-08-24T00:00:00.000
160,ARL000160,3,Titan AccountReportingLine 160,AccountReportingLine starter record 160,Riley Adams,2020-06-09,2021-06-09,0,1,1,2026-08-24T00:00:00.000
161,ARL000161,3,Northstar AccountReportingLine 161,AccountReportingLine starter record 161,Alex Hughes,2020-06-10,2021-06-10,1,1,1,2026-08-24T00:00:00.000
162,ARL000162,2,Northstar AccountReportingLine 162,AccountReportingLine starter record 162,Jordan Garcia,2020-06-11,2021-06-11,1,1,1,2026-08-24T00:00:00.000
163,ARL000163,3,Delta AccountReportingLine 163,AccountReportingLine starter record 163,Morgan Adams,2020-06-12,2021-06-12,1,1,1,2026-08-24T00:00:00.000
164,ARL000164,1,Evergreen AccountReportingLine 164,AccountReportingLine starter record 164,Morgan Patel,2020-06-13,2021-06-13,1,1,1,2026-08-24T00:00:00.000
165,ARL000165,2,Beacon AccountReportingLine 165,AccountReportingLine starter record 165,Alex Reed,2020-06-14,2021-06-14,0,1,1,2026-08-24T00:00:00.000
166,ARL000166,3,Junction AccountReportingLine 166,AccountReportingLine starter record 166,Casey Chen,2020-06-15,2021-06-15,1,1,1,2026-08-24T00:00:00.000
167,ARL000167,4,Vertex AccountReportingLine 167,AccountReportingLine starter record 167,Quinn Martin,2020-06-16,2021-06-16,1,1,1,2026-08-24T00:00:00.000
168,ARL000168,1,Junction AccountReportingLine 168,AccountReportingLine starter record 168,Casey Garcia,2020-06-17,2021-06-17,1,1,1,2026-08-24T00:00:00.000
