CustomerMarketKey,MarketCode,CurrencyKey,RecordStatusKey,MarketName,MarketDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
46,CM000046,5,1,Keystone CustomerMarket 46,CustomerMarket starter record 46,Alex Khan,2020-02-16,2021-02-15,1,1,1,2026-08-24T00:00:00.000
47,CM000047,3,3,Summit CustomerMarket 47,CustomerMarket starter record 47,Harper Singh,2020-02-17,2021-02-16,1,1,1,2026-08-24T00:00:00.000
48,CM000048,4,1,Evergreen CustomerMarket 48,CustomerMarket starter record 48,Jordan Bennett,2020-02-18,2021-02-17,1,1,1,2026-08-24T00:00:00.000
49,CM000049,4,3,Summit CustomerMarket 49,CustomerMarket starter record 49,Quinn Garcia,2020-02-19,2021-02-18,1,1,1,2026-08-24T00:00:00.000
50,CM000050,5,3,Riverton CustomerMarket 50,CustomerMarket starter record 50,Quinn Patel,2020-02-20,2021-02-19,0,1,1,2026-08-24T00:00:00.000
51,CM000051,4,1,Meridian CustomerMarket 51,CustomerMarket starter record 51,Quinn Singh,2020-02-21,2021-02-20,1,1,1,2026-08-24T00:00:00.000
52,CM000052,1,3,Harbor CustomerMarket 52,CustomerMarket starter record 52,Morgan Hughes,2020-02-22,2021-02-21,1,1,1,2026-08-24T00:00:00.000
53,CM000053,1,3,Unity CustomerMarket 53,CustomerMarket starter record 53,Morgan Hughes,2020-02-23,2021-02-22,1,1,1,2026-08-24T00:00:00.000
54,CM000054,3,4,Liberty CustomerMarket 54,CustomerMarket starter record 54,Casey Reed,2020-02-24,2021-02-23,1,1,1,2026-08-24T00:00:00.000
55,CM000055,5,4,Northstar CustomerMarket 55,CustomerMarket starter record 55,Finley Adams,2020-02-25,2021-02-24,0,1,1,2026-08-24T00:00:00.000
56,CM000056,4,2,Delta CustomerMarket 56,CustomerMarket starter record 56,Devon Patel,2020-02-26,2021-02-25,1,1,1,2026-08-24T00:00:00.000
57,CM000057,1,1,Granite CustomerMarket 57,CustomerMarket starter record 57,Quinn Singh,2020-02-27,2021-02-26,1,1,1,2026-08-24T00:00:00.000
58,CM000058,2,3,Granite CustomerMarket 58,CustomerMarket starter record 58,Finley Patel,2020-02-28,2021-02-27,1,1,1,2026-08-24T00:00:00.000
59,CM000059,2,3,Orion CustomerMarket 59,CustomerMarket starter record 59,Quinn Reed,2020-02-29,2021-02-28,1,1,1,2026-08-24T00:00:00.000
60,CM000060,3,4,Northstar CustomerMarket 60,CustomerMarket starter record 60,Morgan Singh,2020-03-01,2021-03-01,0,1,1,2026-08-24T00:00:00.000
61,CM000061,1,3,Ion CustomerMarket 61,CustomerMarket starter record 61,Alex Garcia,2020-03-02,2021-03-02,1,1,1,2026-08-24T00:00:00.000
62,CM000062,2,2,Liberty CustomerMarket 62,CustomerMarket starter record 62,Harper Patel,2020-03-03,2021-03-03,1,1,1,2026-08-24T00:00:00.000
63,CM000063,3,2,Orion CustomerMarket 63,CustomerMarket starter record 63,Finley Patel,2020-03-04,2021-03-04,1,1,1,2026-08-24T00:00:00.000
64,CM000064,4,3,Ion CustomerMarket 64,CustomerMarket starter record 64,Finley Chen,2020-03-05,2021-03-05,1,1,1,2026-08-24T00:00:00.000
65,CM000065,2,4,Harbor CustomerMarket 65,CustomerMarket starter record 65,Taylor Diaz,2020-03-06,2021-03-06,0,1,1,2026-08-24T00:00:00.000
66,CM000066,1,4,Riverton CustomerMarket 66,CustomerMarket starter record 66,Emerson Martin,2020-03-07,2021-03-07,1,1,1,2026-08-24T00:00:00.000
67,CM000067,5,1,Zenith CustomerMarket 67,CustomerMarket starter record 67,Morgan Chen,2020-03-08,2021-03-08,1,1,1,2026-08-24T00:00:00.000
68,CM000068,4,2,Forge CustomerMarket 68,CustomerMarket starter record 68,Taylor Reed,2020-03-09,2021-03-09,1,1,1,2026-08-24T00:00:00.000
69,CM000069,4,4,Zenith CustomerMarket 69,CustomerMarket starter record 69,Taylor Singh,2020-03-10,2021-03-10,1,1,1,2026-08-24T00:00:00.000
70,CM000070,3,2,Evergreen CustomerMarket 70,CustomerMarket starter record 70,Taylor Diaz,2020-03-11,2021-03-11,0,1,1,2026-08-24T00:00:00.000
71,CM000071,1,2,Northstar CustomerMarket 71,CustomerMarket starter record 71,Blair Diaz,2020-03-12,2021-03-12,1,1,1,2026-08-24T00:00:00.000
72,CM000072,1,1,Delta CustomerMarket 72,CustomerMarket starter record 72,Quinn Adams,2020-03-13,2021-03-13,1,1,1,2026-08-24T00:00:00.000
73,CM000073,5,1,Titan CustomerMarket 73,CustomerMarket starter record 73,Harper Garcia,2020-03-14,2021-03-14,1,1,1,2026-08-24T00:00:00.000
74,CM000074,2,4,Pioneer CustomerMarket 74,CustomerMarket starter record 74,Casey Diaz,2020-03-15,2021-03-15,1,1,1,2026-08-24T00:00:00.000
75,CM000075,2,1,Cedar CustomerMarket 75,CustomerMarket starter record 75,Emerson Garcia,2020-03-16,2021-03-16,0,1,1,2026-08-24T00:00:00.000
76,CM000076,1,2,Northstar CustomerMarket 76,CustomerMarket starter record 76,Blair Adams,2020-03-17,2021-03-17,1,1,1,2026-08-24T00:00:00.000
77,CM000077,3,1,Orion CustomerMarket 77,CustomerMarket starter record 77,Jordan Chen,2020-03-18,2021-03-18,1,1,1,2026-08-24T00:00:00.000
78,CM000078,3,4,Junction CustomerMarket 78,CustomerMarket starter record 78,Finley Martin,2020-03-19,2021-03-19,1,1,1,2026-08-24T00:00:00.000
79,CM000079,4,4,Titan CustomerMarket 79,CustomerMarket starter record 79,Finley Garcia,2020-03-20,2021-03-20,1,1,1,2026-08-24T00:00:00.000
80,CM000080,3,4,Willow CustomerMarket 80,CustomerMarket starter record 80,Morgan Martin,2020-03-21,2021-03-21,0,1,1,2026-08-24T00:00:00.000
81,CM000081,1,2,Riverton CustomerMarket 81,CustomerMarket starter record 81,Finley Garcia,2020-03-22,2021-03-22,1,1,1,2026-08-24T00:00:00.000
82,CM000082,3,4,Titan CustomerMarket 82,CustomerMarket starter record 82,Alex Evans,2020-03-23,2021-03-23,1,1,1,2026-08-24T00:00:00.000
83,CM000083,1,3,Atlas CustomerMarket 83,CustomerMarket starter record 83,Quinn Patel,2020-03-24,2021-03-24,1,1,1,2026-08-24T00:00:00.000
84,CM000084,1,1,Meridian CustomerMarket 84,CustomerMarket starter record 84,Quinn Diaz,2020-03-25,2021-03-25,1,1,1,2026-08-24T00:00:00.000
85,CM000085,4,1,Riverton CustomerMarket 85,CustomerMarket starter record 85,Morgan Chen,2020-03-26,2021-03-26,0,1,1,2026-08-24T00:00:00.000
86,CM000086,2,2,Quartz CustomerMarket 86,CustomerMarket starter record 86,Harper Evans,2020-03-27,2021-03-27,1,1,1,2026-08-24T00:00:00.000
87,CM000087,1,3,Northstar CustomerMarket 87,CustomerMarket starter record 87,Blair Bennett,2020-03-28,2021-03-28,1,1,1,2026-08-24T00:00:00.000
88,CM000088,1,2,Evergreen CustomerMarket 88,CustomerMarket starter record 88,Jordan Garcia,2020-03-29,2021-03-29,1,1,1,2026-08-24T00:00:00.000
89,CM000089,4,2,Pioneer CustomerMarket 89,CustomerMarket starter record 89,Morgan Patel,2020-03-30,2021-03-30,1,1,1,2026-08-24T00:00:00.000
90,CM000090,1,2,Beacon CustomerMarket 90,CustomerMarket starter record 90,Riley Chen,2020-03-31,2021-03-31,0,1,1,2026-08-24T00:00:00.000
91,CM000091,1,1,Delta CustomerMarket 91,CustomerMarket starter record 91,Jordan Diaz,2020-04-01,2021-04-01,1,1,1,2026-08-24T00:00:00.000
92,CM000092,1,1,Quartz CustomerMarket 92,CustomerMarket starter record 92,Taylor Evans,2020-04-02,2021-04-02,1,1,1,2026-08-24T00:00:00.000
93,CM000093,2,1,Vertex CustomerMarket 93,CustomerMarket starter record 93,Morgan Khan,2020-04-03,2021-04-03,1,1,1,2026-08-24T00:00:00.000
94,CM000094,5,4,Vertex CustomerMarket 94,CustomerMarket starter record 94,Blair Bennett,2020-04-04,2021-04-04,1,1,1,2026-08-24T00:00:00.000
95,CM000095,2,1,Keystone CustomerMarket 95,CustomerMarket starter record 95,Finley Diaz,2020-04-05,2021-04-05,0,1,1,2026-08-24T00:00:00.000
96,CM000096,5,3,Keystone CustomerMarket 96,CustomerMarket starter record 96,Harper Khan,2020-04-06,2021-04-06,1,1,1,2026-08-24T00:00:00.000
97,CM000097,3,3,Harbor CustomerMarket 97,CustomerMarket starter record 97,Emerson Martin,2020-04-07,2021-04-07,1,1,1,2026-08-24T00:00:00.000
98,CM000098,2,3,Delta CustomerMarket 98,CustomerMarket starter record 98,Morgan Hughes,2020-04-08,2021-04-08,1,1,1,2026-08-24T00:00:00.000
99,CM000099,1,2,Atlas CustomerMarket 99,CustomerMarket starter record 99,Casey Hughes,2020-04-09,2021-04-09,1,1,1,2026-08-24T00:00:00.000
100,CM000100,4,3,Granite CustomerMarket 100,CustomerMarket starter record 100,Jordan Hughes,2020-04-10,2021-04-10,0,1,1,2026-08-24T00:00:00.000
101,CM000101,1,3,Zenith CustomerMarket 101,CustomerMarket starter record 101,Jordan Khan,2020-04-11,2021-04-11,1,1,1,2026-08-24T00:00:00.000
102,CM000102,4,2,Forge CustomerMarket 102,CustomerMarket starter record 102,Alex Adams,2020-04-12,2021-04-12,1,1,1,2026-08-24T00:00:00.000
103,CM000103,1,3,Beacon CustomerMarket 103,CustomerMarket starter record 103,Taylor Martin,2020-04-13,2021-04-13,1,1,1,2026-08-24T00:00:00.000
104,CM000104,3,4,Beacon CustomerMarket 104,CustomerMarket starter record 104,Finley Garcia,2020-04-14,2021-04-14,1,1,1,2026-08-24T00:00:00.000
105,CM000105,1,3,Summit CustomerMarket 105,CustomerMarket starter record 105,Casey Reed,2020-04-15,2021-04-15,0,1,1,2026-08-24T00:00:00.000
106,CM000106,2,2,Atlas CustomerMarket 106,CustomerMarket starter record 106,Alex Singh,2020-04-16,2021-04-16,1,1,1,2026-08-24T00:00:00.000
107,CM000107,3,4,Cedar CustomerMarket 107,CustomerMarket starter record 107,Alex Bennett,2020-04-17,2021-04-17,1,1,1,2026-08-24T00:00:00.000
108,CM000108,3,3,Pioneer CustomerMarket 108,CustomerMarket starter record 108,Taylor Hughes,2020-04-18,2021-04-18,1,1,1,2026-08-24T00:00:00.000
109,CM000109,5,3,Beacon CustomerMarket 109,CustomerMarket starter record 109,Blair Diaz,2020-04-19,2021-04-19,1,1,1,2026-08-24T00:00:00.000
110,CM000110,5,4,Evergreen CustomerMarket 110,CustomerMarket starter record 110,Alex Adams,2020-04-20,2021-04-20,0,1,1,2026-08-24T00:00:00.000
111,CM000111,3,1,Northstar CustomerMarket 111,CustomerMarket starter record 111,Blair Martin,2020-04-21,2021-04-21,1,1,1,2026-08-24T00:00:00.000
112,CM000112,5,2,Liberty CustomerMarket 112,CustomerMarket starter record 112,Taylor Garcia,2020-04-22,2021-04-22,1,1,1,2026-08-24T00:00:00.000
113,CM000113,3,1,Titan CustomerMarket 113,CustomerMarket starter record 113,Finley Patel,2020-04-23,2021-04-23,1,1,1,2026-08-24T00:00:00.000
114,CM000114,5,1,Forge CustomerMarket 114,CustomerMarket starter record 114,Alex Khan,2020-04-24,2021-04-24,1,1,1,2026-08-24T00:00:00.000
115,CM000115,3,1,Vertex CustomerMarket 115,CustomerMarket starter record 115,Devon Singh,2020-04-25,2021-04-25,0,1,1,2026-08-24T00:00:00.000
116,CM000116,1,3,Summit CustomerMarket 116,CustomerMarket starter record 116,Devon Khan,2020-04-26,2021-04-26,1,1,1,2026-08-24T00:00:00.000
117,CM000117,3,1,Pioneer CustomerMarket 117,CustomerMarket starter record 117,Emerson Singh,2020-04-27,2021-04-27,1,1,1,2026-08-24T00:00:00.000
118,CM000118,4,4,Titan CustomerMarket 118,CustomerMarket starter record 118,Alex Martin,2020-04-28,2021-04-28,1,1,1,2026-08-24T00:00:00.000
119,CM000119,2,2,Vertex CustomerMarket 119,CustomerMarket starter record 119,Taylor Evans,2020-04-29,2021-04-29,1,1,1,2026-08-24T00:00:00.000
120,CM000120,5,1,Liberty CustomerMarket 120,CustomerMarket starter record 120,Quinn Khan,2020-04-30,2021-04-30,0,1,1,2026-08-24T00:00:00.000
